Subject,Sibilants,Nasals,Fricatives,Rhotics,Stops
1,0.044331658,0.022155776,0.071613616,0.026468332,0.014158
2,0.037463046,0.021219043,0.100489363,0.016013104,0.075830538
3,0.053888638,0.056567989,-0.003493878,0.031858043,0.033668971
4,0.074977801,0.027906822,0.030346569,0.033761882,0.023211004
5,0.014383639,0.063870525,0.082117398,0.045490554,0.079370517
6,0.055541289,0.027425468,0.052914179,-0.014645814,0.033352823
7,0.060407516,0.133901297,0.004122373,0.059217562,0.032450321
8,0.140623097,0.022558623,0.125912284,0.02626706,0.083711265
9,0.030325848,0.180018435,0.019116919,0.089930599,0.055995153
10,0.030390651,0.030269923,0.048170697,0.051569708,0.042994336
11,0.074531782,0.191347734,0.086784631,0.128702091,0.127493201
12,0.017829858,-0.042700019,0.039729663,0.03157148,-0.010247096
13,0.051982391,0.016310755,-0.029686252,0.020164467,0.016267343
14,0.066709796,0.112435456,0.025516867,0.027310011,0.03286031
15,0.101848736,-0.006030568,0.008538568,-0.117198125,0.004988971
16,-0.030564592,0.05863256,-0.023957211,0.025864314,-0.024577673
17,0.026518118,0.030020184,0.021361363,0.037882604,0.029246866
18,0.064990646,0.045164134,0.019018767,0.031462688,0.025620036
19,0.07063063,0.015687702,0.055093648,0.009432104,0.026950886
20,0.089678165,0.135948724,0.126266426,0.054202218,0.079009717
21,0.0613661,0.014224285,0.038009993,-0.007605108,0.048615502
22,0.002832116,0.053527517,0.02120531,0.029434208,0.043334429
23,0.037618242,0.038830042,0.030367628,-0.022861615,0.044494959
24,0.110410697,0.088431187,0.066875428,0.045399533,0.053429351
25,0.038790359,0.093910791,0.040068224,0.058904417,0.056133907
